trial,hybrid,inoculum,order,rep,sev,spkweight,fdk
EL2013,P30F53,Fmer+Fgra,2,10,20,289,NA
LG2012,P30F53,Fmer+Fgra,2,1,100,24.4,100
LG2012,P30F53,Fmer+Fgra,2,2,100,50.7,100
LG2012,P30F53,Fmer+Fgra,2,3,90,100.8,100
LG2012,P30F53,Fmer+Fgra,2,4,90,145.8,100
LG2012,P30F53,Fmer+Fgra,2,5,80,188.4,67
LG2012,P30F53,Fmer+Fgra,2,6,20,239.8,39
LG2012,P30F53,Fmer+Fgra,2,7,15,301.1,9
LG2012,P30F53,Fmer+Fgra,2,8,20,236.4,35
LG2012,P30F53,Fmer+Fgra,2,9,15,269,21
LG2012,P30F53,Fmer+Fgra,2,10,20,254.2,39
EL2012,Status,Fmer+Fgra,2,1,50,177.6,35
EL2012,Status,Fmer+Fgra,2,2,NA,214,0
EL2012,Status,Fmer+Fgra,2,3,100,156.2,50
EL2012,Status,Fmer+Fgra,2,4,NA,221.2,0
EL2012,Status,Fmer+Fgra,2,5,3,161.4,5
EL2012,Status,Fmer+Fgra,2,6,20,257.1,10
EL2012,Status,Fmer+Fgra,2,7,8,309.8,20
EL2012,Status,Fmer+Fgra,2,8,10,137,24
EL2012,Status,Fmer+Fgra,2,9,70,83.3,50
EL2012,Status,Fmer+Fgra,2,10,40,247.9,26
EL2013,Status,Fmer+Fgra,2,1,1,376,NA
EL2013,Status,Fmer+Fgra,2,2,80,177,NA
EL2013,Status,Fmer+Fgra,2,3,5,409,NA
EL2013,Status,Fmer+Fgra,2,4,5,387,NA
EL2013,Status,Fmer+Fgra,2,5,95,155,NA
EL2013,Status,Fmer+Fgra,2,6,70,229,NA
EL2013,Status,Fmer+Fgra,2,7,NA,NA,NA
EL2013,Status,Fmer+Fgra,2,8,NA,NA,NA
EL2013,Status,Fmer+Fgra,2,9,NA,NA,NA
EL2013,Status,Fmer+Fgra,2,10,NA,NA,NA
LG2012,Status,Fmer+Fgra,2,1,100,85.6,100
LG2012,Status,Fmer+Fgra,2,2,100,60.9,98
LG2012,Status,Fmer+Fgra,2,3,70,85.5,100
LG2012,Status,Fmer+Fgra,2,4,60,165,45
LG2012,Status,Fmer+Fgra,2,5,20,74.2,10
LG2012,Status,Fmer+Fgra,2,6,NA,NA,NA
LG2012,Status,Fmer+Fgra,2,7,NA,NA,NA
LG2012,Status,Fmer+Fgra,2,8,NA,NA,NA
LG2012,Status,Fmer+Fgra,2,9,NA,NA,NA
LG2012,Status,Fmer+Fgra,2,10,NA,NA,NA
